compound,E_a,A_site,B_site,X_site,A_valence,EN_A,EN_B,EN_X,R_A,R_B,R_X,Polarizability_A,Polarizability_B,Polarizability_X,EA_A,EA_B,EA_X,a,b,c,d_AX,d_BX,k_64m,U,t_ratio,alpha,E_hull
NaSc2O4,0.5411488099999815,Na,Sc,O,1,0.93,1.36,3.44,0.99,745,1.4,162.7,97.0,5.3,0.547926,188,1.4611135,9.157818,9.157818,9.157818,2.298551,2.126385,0.925098,0.394911,1.0,99.6284,0.129559734
CaV2S4,0.5310896899999875,Ca,V,S,2,1.0,1.63,2.58,1.0,0.64,1.84,160.8,87.0,19.4,0.02455,525,2.07710403,10.61255,10.61255,10.61255,2.678543,2.494452,0.931272,0.39572,1.0,95.8312,0.244108295
MgNi2Se4,0.5162765800000102,Mg,Ni,Se,2,1.31,1.91,2.55,0.57,0.6,1.98,71.2,49.0,28.9,,1.156,2.02067,10.45371,10.45371,10.45371,2.57304,2.45244,0.953129,0.392107,1.0,98.3738,0.15104486
ZnMn2Se4,0.5128144600000155,Zn,Mn,Se,2,1.65,1.55,2.55,0.6,645,1.98,38.67,68.0,28.9,,,2.02067,10.690345,10.690345,10.690345,2.476612,2.578773,1.04125,0.383754,1.0,92.05,0.005618213
AlIn2S4,0.5104541999999981,Al,In,S,3,1.61,1.78,2.58,0.39,0.8,1.84,57.8,65.0,19.4,0.43283,0.3,2.07710403,10.81305,10.81305,10.81305,2.300494,2.703217,1.17506,0.372832,1.0,90.5434,0.129386291
MgNi2S4,0.5090360500000202,Mg,Ni,S,2,1.31,1.91,2.58,0.57,0.6,1.84,71.2,49.0,19.4,,1.156,2.07710403,9.900671,9.900671,9.900671,2.432637,2.322324,0.954653,0.391857,1.0,98.3582,0.177547065
LiAl2O4,0.5035157199999958,Li,Al,O,1,0.98,1.61,3.44,0.59,535,1.4,164.1125,57.8,5.3,0.618049,0.43283,1.4611135,8.113308,8.109961,8.109961,1.964477,1.913328,0.973963,0.389832,0.999588,97.1658,0.13410257
MgMn2S4,0.5012605000000008,Mg,Mn,S,2,1.31,1.55,2.58,0.57,645,1.84,71.2,68.0,19.4,,,2.07710403,10.306399,10.306399,10.306399,2.449203,2.456947,1.003162,0.387201,1.0,95.9059,0.064409628
MgCo2S4,0.5005540699999642,Mg,Co,S,2,1.31,1.88,2.58,0.57,0.61,1.84,71.2,55.0,19.4,,0.66225646,2.07710403,9.786371,9.786371,9.786371,2.444014,2.280741,0.933195,0.394185,1.0,99.4979,0.089610738
ZnMn2S4,0.4937127900000178,Zn,Mn,S,2,1.65,1.55,2.58,0.6,645,1.84,38.67,68.0,19.4,,,2.07710403,10.115301,10.115301,10.115301,2.340647,2.436559,1.040977,0.383597,1.0,92.9256,0.039674846
MgSc2O4,0.4875162200000318,Mg,Sc,O,2,1.31,1.36,3.44,0.57,745,1.4,71.2,97.0,5.3,,188,1.4611135,8.820347,8.820347,8.820347,2.027986,2.12198,1.046348,0.382745,1.0,94.319,0.034464207
AlFe2Se4,0.4805157800000188,Al,Fe,Se,3,1.61,1.83,2.55,0.39,645,1.98,57.8,62.0,28.9,0.43283,151,2.02067,10.496981,10.496981,10.496981,2.439515,2.533802,1.03865,0.384177,1.0,94.5034,0.171371149
CaGa2O4,0.4788227600000141,Ca,Ga,O,2,1.0,1.81,3.44,1.0,0.62,1.4,160.8,50.0,5.3,0.02455,0.43,1.4611135,8.807787,8.807787,8.807787,2.187408,2.053893,0.938962,0.393385,1.0,99.1027,0.104863005
MgLa2S4,0.4763912399999981,Mg,La,S,2,1.31,1.1,2.58,0.57,1.032,1.84,71.2,215.0,19.4,,0.47,2.07710403,11.659804,11.659804,11.659804,2.534571,2.884058,1.137888,0.375503,1.0,90.8693,0.113005595
ZnPd2S4,0.4744844399999977,Zn,Pd,S,2,1.65,2.2,2.58,0.6,0.76,1.84,38.67,26.14,19.4,,562,2.07710403,10.194669,10.194669,10.194669,2.385217,2.439331,1.022687,0.385081,1.0,90.5687,0.158960373
MgIn2S4,0.4739940599999954,Mg,In,S,2,1.31,1.78,2.58,0.57,0.8,1.84,71.2,65.0,19.4,,0.3,2.07710403,10.888514,10.888514,10.888514,2.476132,2.649142,1.069871,0.381294,1.0,93.3886,0.00212898
AlFe2S4,0.4710137099999656,Al,Fe,S,3,1.61,1.83,2.58,0.39,645,1.84,57.8,62.0,19.4,0.43283,151,2.07710403,9.632028,9.632028,9.632028,2.309357,2.291655,0.992335,0.388424,1.0,96.7646,0.183693931
CaNd2S4,0.4680270199999654,Ca,Nd,S,2,1.0,1.14,2.58,1.0,983,1.84,160.8,208.0,19.4,0.02455,1.916,2.07710403,11.816128,11.816128,11.816128,2.738793,2.845684,1.039028,0.383821,1.0,94.4025,0.066164442
MgGa2S4,0.4654916199999945,Mg,Ga,S,2,1.31,1.81,2.58,0.57,0.62,1.84,71.2,50.0,19.4,,0.43,2.07710403,10.395606,10.395606,10.395606,2.444211,2.490103,1.018776,0.385746,1.0,95.4147,0.126678416
MgCr2O4,0.4648884800000132,Mg,Cr,O,2,1.31,1.66,3.44,0.57,615,1.4,71.2,83.0,5.3,,0.6659999999999999,1.4611135,8.430201,8.499979,8.499979,2.00103,2.016554,1.007758,0.38629,1.008277,95.0924,0.037243217
NaMn2S4,0.4634977800000115,Na,Mn,S,1,0.93,1.55,2.58,0.99,645,1.84,162.7,68.0,19.4,0.547926,,2.07710403,10.220366,10.220366,10.220366,2.574918,2.380247,0.924397,0.395458,1.0,99.9099,0.069099424
AlGa2Se4,0.4624782499999753,Al,Ga,Se,3,1.61,1.81,2.55,0.39,0.62,1.98,57.8,50.0,28.9,0.43283,0.43,2.02067,10.890246,10.890246,10.890246,2.436384,2.667706,1.094945,0.379166,1.0,92.0714,0.19196392
LiGa2O4,0.4618596400000001,Li,Ga,O,1,0.98,1.81,3.44,0.59,0.62,1.4,164.1125,50.0,5.3,0.618049,0.43,1.4611135,8.413849,8.413849,8.413849,1.986372,2.006275,1.01002,0.386303,1.0,95.5217,0.16993366
CaEr2O4,0.4604606699999749,Ca,Er,O,2,1.0,1.24,3.44,1.0,0.89,1.4,160.8,150.0,5.3,0.02455,,1.4611135,9.568825,9.568825,9.568825,2.285101,2.263234,0.990431,0.387875,1.0,96.6485,0.025924803
MgAl2Se4,0.4594591199999911,Mg,Al,Se,2,1.31,1.61,2.55,0.57,535,1.98,71.2,57.8,28.9,,0.43283,2.02067,10.848841,10.848841,10.848841,2.566206,2.593072,1.010469,0.386568,1.0,95.755,0.027910294
MgV2O4,0.4559532200000262,Mg,V,O,2,1.31,1.63,3.44,0.57,0.64,1.4,71.2,87.0,5.3,,525,1.4611135,8.646574,8.527953,8.527953,2.008266,2.047429,1.019501,0.385334,0.986281,95.2302,0.013422712
NaFe2Se4,0.454709390000005,Na,Fe,Se,1,0.93,1.83,2.55,0.99,645,1.98,162.7,62.0,28.9,0.547926,151,2.02067,10.630481,10.630481,10.630481,2.71896,2.472115,0.909213,0.397669,1.0,100.7738,0.216868516
CaNd2O4,0.453567439999972,Ca,Nd,O,2,1.0,1.14,3.44,1.0,983,1.4,160.8,208.0,5.3,0.02455,1.916,1.4611135,10.012339,10.012338,10.012338,2.328076,2.391815,1.027378,0.384246,1.0,95.1662,0.092293712
CaLa2Se4,0.4471044199999596,Ca,La,Se,2,1.0,1.1,2.55,1.0,1.032,1.98,160.8,215.0,28.9,0.02455,0.47,2.02067,12.479065,12.479065,12.479065,2.871488,3.015699,1.050222,0.382851,1.0,93.9596,0.079006122
CaAl2O4,0.4463929200000507,Ca,Al,O,2,1.0,1.61,3.44,1.0,535,1.4,160.8,57.8,5.3,0.02455,0.43283,1.4611135,8.521275,8.521275,8.521275,2.152313,1.9724,0.91641,0.395828,1.0,100.3375,0.133407781
MgPd2Se4,0.4302065200000129,Mg,Pd,Se,2,1.31,2.2,2.55,0.57,0.76,1.98,71.2,26.14,28.9,,562,2.02067,10.878973,10.878973,10.878973,2.621311,2.57167,0.981063,0.389114,1.0,97.1072,0.130692723
CaV2Se4,0.4300042700000404,Ca,V,Se,2,1.0,1.63,2.55,1.0,0.64,1.98,160.8,87.0,28.9,0.02455,525,2.02067,11.170923,11.170923,11.170923,2.808357,2.63454,0.938107,0.395145,1.0,95.6055,0.225586503
MgCr2Se4,0.4288931400000138,Mg,Cr,Se,2,1.31,1.66,2.55,0.57,615,1.98,71.2,83.0,28.9,,0.6659999999999999,2.02067,10.759772,10.759772,10.759772,2.582982,2.55751,0.990139,0.388598,1.0,96.5457,0.011113322
CaLa2O4,0.4259864399999742,Ca,La,O,2,1.0,1.1,3.44,1.0,1.032,1.4,160.8,215.0,5.3,0.02455,0.47,1.4611135,10.176305,10.176305,10.176305,2.350733,2.433261,1.035108,0.383368,1.0,94.902,0.125875155
NaCo2O4,0.4214093500000331,Na,Co,O,1,0.93,1.88,3.44,0.99,0.61,1.4,162.7,55.0,5.3,0.547926,0.66225646,1.4611135,7.817627,9.047664,9.047664,2.24485,1.977006,0.880685,0.400048,1.157341,100.2334,0.190403909
CaY2O4,0.4169780700000274,Ca,Y,O,2,1.0,1.22,3.44,1.0,0.9,1.4,160.8,162.0,5.3,0.02455,307,1.4611135,9.644763,9.644763,9.644763,2.29335,2.284335,0.996069,0.387283,1.0,96.4417,-0.001197626
MgIn2Se4,0.4157777199999941,Mg,In,Se,2,1.31,1.78,2.55,0.57,0.8,1.98,71.2,65.0,28.9,,0.3,2.02067,11.4599,11.4599,11.4599,2.613382,2.7884,1.06697,0.381662,1.0,93.494,0.020819908
MgMo2Se4,0.4137934099999825,Mg,Mo,Se,2,1.31,2.16,2.55,0.57,0.69,1.98,71.2,87.0,28.9,,748,2.02067,11.061191,11.061191,11.061191,2.611067,2.649027,1.014538,0.386287,1.0,95.4259,0.390422938
ZnPd2Se4,0.4094147000000134,Zn,Pd,Se,2,1.65,2.2,2.55,0.6,0.76,1.98,38.67,26.14,28.9,,562,2.02067,10.727655,10.727655,10.727655,2.52829,2.561942,1.01331,0.38607,1.0,95.2155,0.09123746
CaTm2O4,0.4088998500000116,Ca,Tm,O,2,1.0,1.25,3.44,1.0,0.88,1.4,160.8,144.0,5.3,0.02455,1.029,1.4611135,9.520766,9.520766,9.520766,2.279249,2.249661,0.987019,0.388216,1.0,96.8198,0.025725555
NaCo2Se4,0.4070539600000131,Na,Co,Se,1,0.93,1.88,2.55,0.99,0.61,1.98,162.7,55.0,28.9,0.547926,0.66225646,2.02067,10.507798,10.507798,10.507798,2.709724,2.423102,0.894224,0.398886,1.0,101.4449,0.117411862
CaIn2O4,0.4053118300000164,Ca,In,O,2,1.0,1.78,3.44,1.0,0.8,1.4,160.8,65.0,5.3,0.02455,0.3,1.4611135,9.38398,9.38398,9.38398,2.247039,2.221569,0.988665,0.388249,1.0,96.6227,-0.000364446
MgV2Se4,0.4039302099999986,Mg,V,Se,2,1.31,1.63,2.55,0.57,0.64,1.98,71.2,87.0,28.9,,525,2.02067,10.911683,10.911683,10.911683,2.622429,2.621008,0.999458,0.388756,1.0,95.8916,0.10121655
LiTi2O4,0.3998892099999693,Li,Ti,O,1,0.98,1.54,3.44,0.59,0.67,1.4,164.1125,87.0,5.3,0.618049,79,1.4611135,8.452146,8.451941,8.451941,2.008377,2.008924,1.000273,0.387191,0.999976,96.1843,-0.018735867
MgGa2Se4,0.398259859999996,Mg,Ga,Se,2,1.31,1.81,2.55,0.57,0.62,1.98,71.2,50.0,28.9,,0.43,2.02067,10.991587,10.991587,10.991587,2.58326,2.640383,1.022113,0.38569,1.0,95.3523,0.135576369
MgMn2Se4,0.3963967699999671,Mg,Mn,Se,2,1.31,1.55,2.55,0.57,645,1.98,71.2,68.0,28.9,,,2.02067,10.873713,10.873713,10.873713,2.58371,2.595188,1.004443,0.387185,1.0,95.8032,-0.126513156
MgNd2S4,0.3921310199999652,Mg,Nd,S,2,1.31,1.14,2.58,0.57,983,1.84,71.2,208.0,19.4,,1.916,2.07710403,11.485622,11.485622,11.485622,2.51624,2.836499,1.127277,0.376484,1.0,91.2157,0.073607114
NaNi2S4,0.3859890699999937,Na,Ni,S,1,0.93,1.91,2.58,0.99,0.6,1.84,162.7,49.0,19.4,0.547926,1.156,2.07710403,10.062893,10.062893,10.062893,2.587539,2.321059,0.897014,0.398458,1.0,101.3359,0.159753832
CaSc2O4,0.3844834000000219,Ca,Sc,O,2,1.0,1.36,3.44,1.0,745,1.4,160.8,97.0,5.3,0.02455,188,1.4611135,9.134877,9.134877,9.134877,2.229927,2.142336,0.96072,0.390938,1.0,98.0275,-0.004393824
AlIn2Se4,0.3841913200000135,Al,In,Se,3,1.61,1.78,2.55,0.39,0.8,1.98,57.8,65.0,28.9,0.43283,0.3,2.02067,11.378591,11.378591,11.378591,2.442948,2.832217,1.159344,0.373955,1.0,90.0475,0.119390752
LiSc2O4,0.384160780000002,Li,Sc,O,1,0.98,1.36,3.44,0.59,745,1.4,164.1125,97.0,5.3,0.618049,188,1.4611135,8.890996,8.890996,8.890996,2.109264,2.112615,1.001589,0.386968,1.0,96.0919,0.165155686
MgY2S4,0.3834385900000256,Mg,Y,S,2,1.31,1.22,2.58,0.57,0.9,1.84,71.2,162.0,19.4,,307,2.07710403,11.169389,11.169389,11.169389,2.493551,2.737267,1.097738,0.378893,1.0,92.2409,-0.012411892
MgTm2S4,0.3821791599999642,Mg,Tm,S,2,1.31,1.25,2.58,0.57,0.88,1.84,71.2,144.0,19.4,,1.029,2.07710403,11.05755,11.05755,11.05755,2.485461,2.702554,1.087345,0.379774,1.0,92.6035,-0.003766047
NaCo2S4,0.3775313000000437,Na,Co,S,1,0.93,1.88,2.58,0.99,0.61,1.84,162.7,55.0,19.4,0.547926,0.66225646,2.07710403,9.963545,9.963545,9.963545,2.583665,2.287622,0.885418,0.399714,1.0,102.1164,0.126550018
MgFe2Se4,0.3766729299999838,Mg,Fe,Se,2,1.31,1.83,2.55,0.57,645,1.98,71.2,62.0,28.9,,151,2.02067,10.402672,10.402672,10.402672,2.568204,2.448518,0.953397,0.392536,1.0,98.5052,0.203689982
MgEr2S4,0.3764049799999611,Mg,Er,S,2,1.31,1.24,2.58,0.57,0.89,1.84,71.2,150.0,19.4,,,2.07710403,11.094728,11.094728,11.094728,2.488983,2.714184,1.090479,0.379522,1.0,92.4856,-0.009836497
MgSc2S4,0.3739191299999902,Mg,Sc,S,2,1.31,1.36,2.58,0.57,745,1.84,71.2,97.0,19.4,,188,2.07710403,10.702207,10.702207,10.702207,2.458875,2.593151,1.054609,0.382649,1.0,93.7926,0.000299857
NaTi2Se4,0.3737436499999944,Na,Ti,Se,1,0.93,1.54,2.55,0.99,0.67,1.98,162.7,87.0,28.9,0.547926,79,2.02067,11.095199,11.095199,11.095199,2.72627,2.630392,0.964832,0.391864,1.0,97.2944,0.09771937
CaLa2S4,0.3731052199999567,Ca,La,S,2,1.0,1.1,2.58,1.0,1.032,1.84,160.8,215.0,19.4,0.02455,0.47,2.07710403,11.983617,11.983617,11.983617,2.759688,2.889654,1.047095,0.382957,1.0,94.1484,0.086364194
NaZr2Se4,0.3728866399999901,Na,Zr,Se,1,0.93,1.33,2.55,0.99,0.72,1.98,162.7,112.0,28.9,0.547926,426,2.02067,11.471755,11.471755,11.471755,2.752232,2.743782,0.99693,0.388514,1.0,95.8978,0.046831724
NaV2O4,0.3657746299999758,Na,V,O,1,0.93,1.63,3.44,0.99,0.64,1.4,162.7,87.0,5.3,0.547926,525,1.4611135,8.306638,8.893468,8.893468,2.215945,2.015407,0.909503,0.397091,1.070646,99.4015,0.084526994
MgLa2Se4,0.3652448400000025,Mg,La,Se,2,1.31,1.1,2.55,0.57,1.032,1.98,71.2,215.0,28.9,,0.47,2.02067,12.158049,12.158049,12.158049,2.64833,3.010341,1.136694,0.375761,1.0,90.878,0.08119526
NaTi2S4,0.3646257400000081,Na,Ti,S,1,0.93,1.54,2.58,0.99,0.67,1.84,162.7,87.0,19.4,0.547926,79,2.07710403,10.527663,10.527663,10.527663,2.594455,2.487068,0.958609,0.392283,1.0,97.7121,0.093032011
MgFe2O4,0.3556192799999849,Mg,Fe,O,2,1.31,1.83,3.44,0.57,645,1.4,71.2,62.0,5.3,,151,1.4611135,8.514665,8.497421,8.497421,1.988774,2.028171,1.01981,0.385034,0.997975,95.2436,-0.030431571
NaCr2Se4,0.3468469400000344,Na,Cr,Se,1,0.93,1.66,2.55,0.99,615,1.98,162.7,83.0,28.9,0.547926,0.6659999999999999,2.02067,10.962849,10.962849,10.962849,2.751913,2.559108,0.929938,0.394927,1.0,99.5561,0.082452914
MgSc2Se4,0.3386114900000052,Mg,Sc,Se,2,1.31,1.36,2.55,0.57,745,1.98,71.2,97.0,28.9,,188,2.02067,11.241258,11.241258,11.241258,2.582278,2.726955,1.056027,0.382626,1.0,93.7862,-0.000618019
MgFe2S4,0.3380831100000137,Mg,Fe,S,2,1.31,1.83,2.58,0.57,645,1.84,71.2,62.0,19.4,,151,2.07710403,9.842884,9.842884,9.842884,2.43659,2.313659,0.949548,0.392922,1.0,98.6844,0.222585831
MgTm2Se4,0.3338242600000285,Mg,Tm,Se,2,1.31,1.25,2.55,0.57,0.88,1.98,71.2,144.0,28.9,,1.029,2.02067,11.58375,11.58375,11.58375,2.605285,2.835307,1.088291,0.379851,1.0,92.5639,-0.001852859
NaAl2S4,0.3326447499999858,Na,Al,S,1,0.93,1.61,2.58,0.99,535,1.84,162.7,57.8,19.4,0.547926,0.43283,2.07710403,10.461083,10.461083,10.461083,2.600404,2.452503,0.943124,0.393517,1.0,98.6925,0.17792844
NaSc2Se4,0.3326152700000193,Na,Sc,Se,1,0.93,1.36,2.55,0.99,745,1.98,162.7,97.0,28.9,0.547926,188,2.02067,11.491387,11.491387,11.491387,2.784208,2.723933,0.978351,0.389884,1.0,96.9659,0.083705892
MgEr2Se4,0.3305980999999747,Mg,Er,Se,2,1.31,1.24,2.55,0.57,0.89,1.98,71.2,150.0,28.9,,,2.02067,11.614435,11.614435,11.614435,2.608205,2.845333,1.090916,0.379653,1.0,92.4474,0.000224335
NaTi2O4,0.3283753400000364,Na,Ti,O,1,0.93,1.54,3.44,0.99,0.67,1.4,162.7,87.0,5.3,0.547926,79,1.4611135,8.70691,8.708081,8.708081,2.175104,2.02715,0.931979,0.394217,1.000135,99.5121,-0.012377191
MgY2Se4,0.3277580600000078,Mg,Y,Se,2,1.31,1.22,2.55,0.57,0.9,1.98,71.2,162.0,28.9,,307,2.02067,11.683076,11.683076,11.683076,2.611204,2.867523,1.098161,0.37904,1.0,92.1709,-0.006933572
LiFe2O4,0.3242684900000085,Li,Fe,O,1,0.98,1.83,3.44,0.59,645,1.4,164.1125,62.0,5.3,0.618049,151,1.4611135,8.426973,8.382498,8.382498,2.050966,1.964791,0.957984,0.391012,0.994722,95.9307,-0.004023567
NaZr2S4,0.3220358500000202,Na,Zr,S,1,0.93,1.33,2.58,0.99,0.72,1.84,162.7,112.0,19.4,0.547926,426,2.07710403,10.953099,10.953099,10.953099,2.639594,2.607547,0.987859,0.389136,1.0,96.428,0.003927977
NaPd2Se4,0.3197803000000192,Na,Pd,Se,1,0.93,2.2,2.55,0.99,0.76,1.98,162.7,26.14,28.9,0.547926,562,2.02067,11.052003,11.052003,11.052003,2.789985,2.567166,0.920136,0.395747,1.0,100.0814,0.086778744
NaEr2O4,0.3194386900000268,Na,Er,O,1,0.93,1.24,3.44,0.99,0.89,1.4,162.7,150.0,5.3,0.547926,,1.4611135,9.668667,9.668667,9.668667,2.396039,2.252133,0.93994,0.393076,1.0,99.0816,0.141897987
NaTm2O4,0.3181343699999956,Na,Tm,O,1,0.93,1.25,3.44,0.99,0.88,1.4,162.7,144.0,5.3,0.547926,1.029,1.4611135,9.612248,9.612248,9.612248,2.382151,2.238502,0.939698,0.393082,1.0,99.1431,0.143674362
NaCr2S4,0.3169717200000264,Na,Cr,S,1,0.93,1.66,2.58,0.99,615,1.84,162.7,83.0,19.4,0.547926,0.6659999999999999,2.07710403,10.369124,10.369124,10.369124,2.612001,2.417981,0.92572,0.395436,1.0,99.7475,0.104999121
LiPd2S4,0.3161685900000179,Li,Pd,S,1,0.98,2.2,2.58,0.59,0.76,1.84,164.1125,26.14,19.4,0.618049,562,2.07710403,10.175062,10.175062,10.175062,2.434589,2.418397,0.993349,0.388143,1.0,96.3861,0.092641555
NaAl2Se4,0.3157404700000086,Na,Al,Se,1,0.93,1.61,2.55,0.99,535,1.98,162.7,57.8,28.9,0.547926,0.43283,2.02067,11.065495,11.065495,11.065495,2.732993,2.605513,0.953355,0.392596,1.0,98.1331,0.170590709
NaIn2O4,0.3134158699999716,Na,In,O,1,0.93,1.78,3.44,0.99,0.8,1.4,162.7,65.0,5.3,0.547926,0.3,1.4611135,9.383594,9.383594,9.383594,2.299991,2.203155,0.957897,0.391513,1.0,97.8117,0.127498295
NaSc2S4,0.309140540000044,Na,Sc,S,1,0.93,1.36,2.58,0.99,745,1.84,162.7,97.0,19.4,0.547926,188,2.07710403,10.977813,10.977813,10.977813,2.676017,2.591944,0.968583,0.390738,1.0,97.4554,0.167983181
MgNd2Se4,0.3069482199999811,Mg,Nd,Se,2,1.31,1.14,2.55,0.57,983,1.98,71.2,208.0,28.9,,1.916,2.02067,11.986184,11.986184,11.986184,2.631034,2.963469,1.126352,0.376732,1.0,91.1925,0.043663908
NaNd2S4,0.3034328100000039,Na,Nd,S,1,0.93,1.14,2.58,0.99,983,1.84,162.7,208.0,19.4,0.547926,1.916,2.07710403,11.873496,11.873496,11.873496,2.810493,2.83597,1.009065,0.386661,1.0,95.6233,0.216793463
LiNi2S4,0.3022451499999761,Li,Ni,S,1,0.98,1.91,2.58,0.59,0.6,1.84,164.1125,49.0,19.4,0.618049,1.156,2.07710403,9.691497,9.691497,9.691497,2.359424,2.287358,0.969456,0.390558,1.0,97.4918,0.063219175
NaPd2S4,0.2980552500000044,Na,Pd,S,1,0.93,2.2,2.58,0.99,0.76,1.84,162.7,26.14,19.4,0.547926,562,2.07710403,10.524429,10.524429,10.524429,2.661434,2.440399,0.916949,0.396001,1.0,100.3251,0.130397836
NaCr2O4,0.2942754800000102,Na,Cr,O,1,0.93,1.66,3.44,0.99,615,1.4,162.7,83.0,5.3,0.547926,0.6659999999999999,1.4611135,8.743038,8.602891,8.602891,2.200477,1.995321,0.906768,0.396879,0.98397,100.4032,0.133845715
NaGa2Se4,0.289394819999984,Na,Ga,Se,1,0.93,1.81,2.55,0.99,0.62,1.98,162.7,50.0,28.9,0.547926,0.43,2.02067,11.219523,11.219523,11.219523,2.770737,2.654341,0.957991,0.392581,1.0,97.6654,0.300097312
NaMn2Se4,0.2766578800000161,Na,Mn,Se,1,0.93,1.55,2.55,0.99,645,1.98,162.7,68.0,28.9,0.547926,,2.02067,10.986442,10.986442,10.986442,2.745996,2.573039,0.937015,0.394305,1.0,98.906,-0.06850358
MgTi2Se4,0.275659399999995,Mg,Ti,Se,2,1.31,1.54,2.55,0.57,0.67,1.98,71.2,87.0,28.9,,79,2.02067,11.063463,11.063463,11.063463,2.602116,2.669828,1.026022,0.385792,1.0,94.8283,0.108238513
NaFe2S4,0.2724007499999743,Na,Fe,S,1,0.93,1.83,2.58,0.99,645,1.84,162.7,62.0,19.4,0.547926,151,2.07710403,10.068328,10.068328,10.068328,2.595883,2.32739,0.896569,0.398856,1.0,101.4035,0.248796821
LiMn2S4,0.272008239999991,Li,Mn,S,1,0.98,1.55,2.58,0.59,645,1.84,164.1125,68.0,19.4,0.618049,,2.07710403,9.844281,9.844281,9.844281,2.34756,2.348169,1.000259,0.38768,1.0,96.0985,0.008309868
LiNi2O4,0.2644955600000003,Li,Ni,O,1,0.98,1.91,3.44,0.59,0.6,1.4,164.1125,49.0,5.3,0.618049,1.156,1.4611135,7.895914,8.208714,8.208714,1.950081,1.917145,0.98311,0.388921,1.039615,96.5971,0.050716866
NaTm2Se4,0.2596034100000111,Na,Tm,Se,1,0.93,1.25,2.55,0.99,0.88,1.98,162.7,144.0,28.9,0.547926,1.029,2.02067,11.878278,11.878278,11.878278,2.833793,2.835109,1.000464,0.387738,1.0,95.9514,0.080282763
NaIn2Se4,0.2567929500000048,Na,In,Se,1,0.93,1.78,2.55,0.99,0.8,1.98,162.7,65.0,28.9,0.547926,0.3,2.02067,11.718168,11.718168,11.718168,2.815665,2.798427,0.993878,0.388727,1.0,95.9821,0.134122978
LiTi2Se4,0.2561837299999752,Li,Ti,Se,1,0.98,1.54,2.55,0.59,0.67,1.98,164.1125,87.0,28.9,0.618049,79,2.02067,10.693366,10.693366,10.693366,2.464948,2.600463,1.054977,0.383086,1.0,93.4561,0.030019056
LiIn2S4,0.2560539600000027,Li,In,S,1,0.98,1.78,2.58,0.59,0.8,1.84,164.1125,65.0,19.4,0.618049,0.3,2.07710403,10.784763,10.784763,10.784763,2.432525,2.636217,1.083737,0.380223,1.0,92.6041,0.123275336
LiGa2S4,0.2549081399999977,Li,Ga,S,1,0.98,1.81,2.58,0.59,0.62,1.84,164.1125,50.0,19.4,0.618049,0.43,2.07710403,10.226343,10.226343,10.226343,2.367108,2.473766,1.045058,0.38364,1.0,94.0352,0.236141565
NaEr2Se4,0.2546903599999837,Na,Er,Se,1,0.93,1.24,2.55,0.99,0.89,1.98,162.7,150.0,28.9,0.547926,,2.02067,11.913307,11.913307,11.913307,2.837927,2.845092,1.002525,0.387533,1.0,95.8354,0.126451448
LiCo2S4,0.2537828000000104,Li,Co,S,1,0.98,1.88,2.58,0.59,0.61,1.84,164.1125,55.0,19.4,0.618049,0.66225646,2.07710403,9.61102,9.61102,9.61102,2.365568,2.261045,0.955815,0.392104,1.0,98.0475,0.040173561
LiMn2Se4,0.2405649799999878,Li,Mn,Se,1,0.98,1.55,2.55,0.59,645,1.98,164.1125,68.0,28.9,0.618049,,2.02067,10.585434,10.585434,10.585434,2.497571,2.539925,1.016958,0.386222,1.0,95.1566,-0.211649258
NaY2Se4,0.2375443999999902,Na,Y,Se,1,0.93,1.22,2.55,0.99,0.9,1.98,162.7,162.0,28.9,0.547926,307,2.02067,12.001096,12.001096,12.001096,2.853226,2.868531,1.005364,0.387263,1.0,95.7146,0.118718542
LiGa2Se4,0.2363820500000031,Li,Ga,Se,1,0.98,1.81,2.55,0.59,0.62,1.98,164.1125,50.0,28.9,0.618049,0.43,2.02067,10.797578,10.797578,10.797578,2.487413,2.620217,1.05339,0.383003,1.0,93.7132,0.193491177
NaIn2S4,0.2313657800000044,Na,In,S,1,0.93,1.78,2.58,0.99,0.8,1.84,162.7,65.0,19.4,0.547926,0.3,2.07710403,11.169899,11.169899,11.169899,2.696288,2.657595,0.98565,0.389366,1.0,96.3851,0.158235133
NaNi2O4,0.2294571899999482,Na,Ni,O,1,0.93,1.91,3.44,0.99,0.6,1.4,162.7,49.0,5.3,0.547926,1.156,1.4611135,8.766961,8.327461,8.327461,2.17726,1.952087,0.89658,0.398342,0.949869,100.4305,0.114207899
LiNi2Se4,0.2283233400000028,Li,Ni,Se,1,0.98,1.91,2.55,0.59,0.6,1.98,164.1125,49.0,28.9,0.618049,1.156,2.02067,10.389629,10.389629,10.389629,2.542708,2.443274,0.960895,0.391298,1.0,97.9897,0.059615742
ZnNi2O4,0.2238375300000257,Zn,Ni,O,2,1.65,1.91,3.44,0.6,0.6,1.4,38.67,49.0,5.3,,1.156,1.4611135,7.855384,8.503946,8.503946,1.976807,1.96083,0.991918,0.38771,1.082563,92.1367,0.057604506
LiCo2Se4,0.2232791600000041,Li,Co,Se,1,0.98,1.88,2.55,0.59,0.61,1.98,164.1125,55.0,28.9,0.618049,0.66225646,2.02067,10.151502,10.151502,10.151502,2.491278,2.395125,0.961404,0.391687,1.0,97.6808,0.049428228
